Context,Utterance,Paraphrase
I like your hair like that.,My hair?,Could you please clarify if you are referring to my hair?
I'd like you to go now.,Really.,Would it be possible for you to leave now?
,"""Hey, you can't do that!""","Excuse me, that action is not permissible."
"""Hey, you can't do that!""",Against the wall!,"Excuse me, please refrain from doing that."
See you later!,You cowards!,Goodbye for now.
See you later! [SEP] You cowards!,This stinks!,This situation is unpleasant.
Please take it.,My life?,Could you kindly take this?
,Have you got some money?,Do you happen to have any funds available?
"""Will you wait for me until then? [SEP] Of course, I'll wait. [SEP] Is it hard?""",The soles of my feet?,Could you please tell me if my feet are sore?
"""Will you wait for me until then? [SEP] Of course, I'll wait. [SEP] Is it hard? [SEP] The soles of my feet?""",Silly you.,That's not a problem at all.
"""Will you wait for me until then? [SEP] Of course, I'll wait. [SEP] Is it hard? [SEP] The soles of my feet? [SEP] Silly you. [SEP] If you're asking if I have an erection, of course, I do.""",Can you please stop saying of course?,"Would it be possible for you to refrain from repeatedly using the phrase ""of course""?"
,Madam?,"Excuse me, may I have your attention, please?"
,Don't let him run away!,Please ensure that he does not escape.
Don't let him run away!,I want to torture him.,I have a strong desire to bring him to justice.
Married? [SEP] Don't be angry. I didn't tell them.,Tell them what?,May I ask what you are referring to?
,Fuck! What's so funny?,"Excuse me, may I ask what is causing amusement?"
Fuck! What's so funny?,What's so funny? Why don't you try one?,"Excuse me, may I ask what is causing amusement? Perhaps you could give it a try?"
,What're you talking about?,Could you please clarify what you are referring to?
What're you talking about?,"""Nothing,""","I'm sorry, I wasn't saying anything."
Sixty dollars and forty eight cents.,"""Girls, you finish those mashed potatoes, okay?""","""Excuse me, ladies, would you mind finishing the mashed potatoes?"""
,Can't you stop him?,Would it be possible for you to prevent him from doing that?
,Hook.,"Excuse me, could you please pass me the hook?"
,So you leave tomorrow.,I understand that your departure is scheduled for tomorrow.
,Open that door!,Could you please open the door?
There goes the neighborhood.,Boone?,"Excuse me, may I ask if you are Boone?"
,"""Sir, you can't stand there.""","Excuse me, it's not permissible for you to remain in that location."
"""Sir, you can't stand there.""","""Sir, I need you to leave the building now.""","Excuse me, would you mind stepping away from this area?"
"""Sir, you can't stand there. [SEP] Sir, I need you to leave the building now.""",Sir?,"Excuse me, sir, may I kindly request that you vacate the premises at this time?"
,Move.,Could you please move?
There are too many.,Grab on!,Please hold on tightly.
,"""The men who are a match for women like you don't exist yet, love.""","I believe that there are very few men who can match your qualities, my dear."
Ariel. What are you doing here?,Desmond.,"Excuse me, Ariel. It's Desmond."
,Rene!,"Hello, Rene!"
,So this is where the magic happens.,This seems to be the place where the enchantment occurs.
So this is where the magic happens.,"""Yeah, this is it.""","Indeed, this is the place."
,"""So... you're taking me the scenic route, huh?""","Oh, it seems like we're going on a more picturesque route, is that right?"
"""So... you're taking me the scenic route, huh?""","""What're you doing here, boy?""","May I ask what brings you here, young man?"
"""So... you're taking me the scenic route, huh? [SEP] What're you doing here, boy? [SEP] Start a new life. [SEP] Looking for peace and quiet you know?""",You city boys sure are funny.,It's interesting how city folks behave.
The Creator will soon return.,You're wasting your time.,Perhaps there are more productive ways to spend your time.
,When you... right?,May I confirm if you are referring to the moment when you...?
When you... right?,you came to rescue me too fast... after stopping by the Corps Command.,"You arrived to assist me very quickly, even after visiting the Corps Command."
,Remember that girl you chased?,Do you happen to recall the young lady you were pursuing?
Remember that girl you chased?,The butcher's daughter?,Do you recall the young lady you were pursuing?
Remember that girl you chased? [SEP] The butcher's daughter?,"""Yeah, the one who dragged you onto presidential campaign rallies!""","Oh yes, I recall her. She was the one who invited you to attend presidential campaign rallies."
Listen... you can use that.,"""whisper, whisper... careful...""",Speak softly and be cautious.
,What on earth are you doing?,May I ask what you are currently engaged in?
What on earth are you doing?,"""Watch and learn, my friend.""","Observe and gain knowledge, my dear acquaintance."
"""Are you okay, Will?""",Head hurts. I just got the shit kicked out of me.,I am experiencing some discomfort in my head. I recently had a physical altercation that was quite intense.
,Have you eaten?,Have you had a meal?
,"""Where are we going, Daddy?""","May I ask, Father, where our destination is?"
"""Maybe I'll fix us a snack. [SEP] No, we've had plenty.""","""Well, you're all here.""",It's great to see everyone gathered together.
"""Excuse me, sister.""",Where's my baggage?,May I inquire about the whereabouts of my luggage?
,There's no answer.,"I'm sorry, but I haven't received a response."
,Damn. We're being attacked!,"Oh no, it appears that we are under attack."
Damn. We're being attacked!,Let's make a run for it.,Perhaps we should consider moving quickly to a safer location.
,Pussycat!,"Hello there, little feline!"
Pussycat!,Give your fucking wedding dress to the girl.,Please consider giving your wedding dress to the girl.
The phone.,Where's the fucking phone?,"Excuse me, do you happen to know the whereabouts of the phone?"
Your brother's worried about you.,That's just stupid.,I respectfully disagree with that statement.
,I need you to scream for me.,Could you please raise your voice for me?
I need you to scream for me.,Like a damsel?,"Would you be willing to raise your voice for me, please?"
,The other side has his address. Finish him off.,Take care of him completely as the other party has his contact information.
Will you be okay?,One shot.,Are you feeling alright?
,You're a pitiful woman.,"I'm sorry, but I don't think that's an appropriate way to address someone."
You're a pitiful woman.,I'm not the only pathetic one!,I believe there are others who may also be struggling.
I am back,what is this?,"Excuse me, may I ask what this is?"
"""Ask your buddy how far this thing goes. [SEP] How you doing up there, Ivan?""",If I had legs I'd kick your ass!,"I would appreciate it if you could ask your friend about the distance this object can cover. [SEP] How are you faring, Ivan?"
,Why do not you head outside?,Would you like to go outside?
Why do not you head outside?,And when you see your friends... kill as many as you can.,"When you have the opportunity to meet your friends, please make the most of it."
I can't get past him.,I'm out of position.,I seem to be in an unfavorable position.
,Who are all those people?,May I ask who those individuals are?
Who are all those people?,What people?,Could you please tell me who those individuals are?
I like you.,Bang.,I have positive feelings towards you.
,Ren.,"Excuse me, could you please repeat your name?"
,If a main or major purpose of your presence here is to cause drama then I would support your being indefed. Am I misunderstanding something?,"If I may ask, is it possible that your intention for being here is to create conflict? If that is the case, I would be in favor of your removal. Please correct me if I am mistaken."
Boone?,Boone!,"Excuse me, may I speak with Boone?"
,Loki! What are you doing here?,"Excuse me, may I ask what brings you here, Loki?"
You're home.,Who was that young man?,May I ask who the young man was?
,I can't do this.,I'm having some difficulty with this task.
"""I am disappointed, my servant.""",Whither fled?,May I ask where they have gone?
,"""Mama, stop it now!""","Mother, could you please refrain from doing that?"
"""Mama, stop it now!""","""Stop, Mama!""","""Could you please stop, Mama?"""
How about the tinea on your head?,It's gone! Bravo!,That's great news! Congratulations!
Charles?,Charles!,"Excuse me, may I speak with Charles please?"
,Are you reading this?,May I ask if you are currently perusing this?
,Why do we fight among ourselves?,What are the reasons for conflicts within our group?
Why do we fight among ourselves?,"""If we have energy to spend, let's spend it against those who have reduced us to this.""","Instead of fighting amongst ourselves, let's direct our energy towards those who have caused us to be in this situation."
What can a minor official do?,This is my territory,I am responsible for this area.
Go ahead. Say it.,You don't deserve her.,I believe she deserves someone better.
,"""There you go, you're back up.""","Great job, you're back on your feet."
Looks like they brought him back.,Call Pasha.,Could you please call Pasha?
,"""Carlo, stop it, someone is watching us!""","Carlo, could you please refrain from doing that? It seems that we have an audience."
"""Carlo, stop it, someone is watching us!""",Well... let him watch!,"I don't think it matters if someone is watching us, Carlo."
If you don't mind I'll sit here.,Be seated and silent.,"May I take this seat, if it's not too much trouble?"
,Get you and your people to safety.,Please ensure the safety of yourself and those in your group.
,What the hell is Harry doing?,What is Harry up to?
,Where'd you get that?,May I ask where you acquired that?
Where'd you get that?,You know what we do with traitors!,I'm curious about the origin of that item.
,Don't get in my way.,Please allow me to pass without obstruction.
,You love me where?,Could you please tell me where your feelings for me lie?
You love me where?,Your sex.,The physical intimacy we share.
I don't know how to say.,Must be joking. You're a woman.,"I apologize, but I am unsure of how to express myself in this situation."
,"""What the hell were you thinking, young lady?""","May I ask what was going through your mind, young lady?"
"""What the hell were you thinking, young lady?""","""Of all the cars in the city, you had to hit us?""","""Could you please explain why our car was hit out of all the cars in the city?"""
,You nearly let it eat me!,It seems like there was a close call with something potentially harmful.
,Don't be like that.,Please try to be more understanding.
Don't be like that.,Why didn't you save me?,May I ask why you were unable to assist me?
No Arabic.,But you're Moroccan.,I understand that you are from Morocco.
Does semen taste like Chinese food?,Don't act like you don't know.,I believe you may have some knowledge on the topic.
,How did you do this by yourself?,May I ask how you accomplished this on your own?
,"""Battalion, halt!""","""Attention, battalion!"""
We're leaving.,We're leaving!,We will be departing now.
We're leaving. [SEP] We're leaving!,Okay. All right. Bye.,"Sure, farewell."
Hello. [SEP] What are you doing here? [SEP] What do I smell?,Been drinking?,Have you had anything to drink?
"""Yes, the practices for the drama will begin next week and take place on Mondays, Wednesdays and Fridays. [SEP] All right, I'll see you then!""","""Yeah, okay. I'll leave now.""","Sure, I understand. I'll take my leave now."
"""Like that, you won't have to carry so much.""",Where are we going?,May I ask where we are headed?
,So who's this guy?,May I know the identity of this gentleman?
,It's all over now.,The situation has come to a conclusion.
It's all over now.,Don't cry anymore.,Please refrain from shedding any more tears.
,Why aren't you in class?,May I ask why you are not currently attending class?
,"""Battalion, attention!""","""May I have everyone's attention in the battalion, please?"""
,Harder.,Could you please increase the level of difficulty?
Harder.,Much harder.,Considerably more challenging.
"""Hey, Pascal. [SEP] To what do I owe the unexpected honor?""","""You've left your rustic retreat, yet snubbed our last opening.""","I hope you are doing well, Pascal. May I ask what brings you here today? I was pleasantly surprised by your unexpected visit."
,"""Trouble, trouble!""",I'm afraid there may be some difficulties.
Good man.,You're dismissed.,You may go now.
,Cards are like whores.,Cards can be compared to individuals who engage in sex work.
Cards are like whores.,Fickle.,Unpredictable.
,What is the noise?,Could you please tell me what that sound is?
What is the noise?,You must leave now!,It would be best if you departed at this time.
,"""You're one heck of a nuisance, traveler.""","You have been causing some inconvenience, traveler."
,Keep away from her!,It would be best to avoid her.
Keep away from her!,Keep off!,Please maintain a safe distance from her.
"""Sichin, you may leave after taking a bath. [SEP] Didrt you say I can sleep here? [SEP] My mother will come around.""",Didrt you quarrel with your mom?,"Excuse me, may I ask if there was any disagreement between you and your mother?"
,"""Hey you, stop!""","Excuse me, could you please halt?"
"""Please, help me.""",Bomb!,"I require your assistance, if you don't mind."
He won't talk.,Patience.,It may be helpful to remain patient in this situation.
It's finished!,No more!,"That's it, we're done."
,What is all that?,May I ask what that is?
What is all that? [SEP] My goodness.,Are you doing that to yourself?,May I ask if you are the one responsible for that?
Are you scared?,Then sit down here.,Please have a seat here.
,"""Live or die, man?""",Would you prefer to continue living or would you rather not?
"""Live or die, man?""",Die.,I would prefer not to live.
"""Live or die, man? [SEP] Die.""",Wrong. Honk!,"I'm sorry, that's not correct."
"""So you want to have me, too!""","""That's your motive, isn't it!""",Is that what you're hoping for?
,What's with the hat?,May I ask about the hat you are wearing?
,Where the fuck you at?,"Excuse me, may I ask where you are currently located?"
,Let him go,Allow him to leave.
,Take the traitor back.,Please bring the person who betrayed us back.
Take the traitor back.,He is a child of the old one!,He belongs to the previous generation.
,Are you really not drinking?,May I ask if you are abstaining from drinking?
,"""Master Tie, why do we need to be scared of them?""","Excuse me, Master Tie, may I ask why we should feel afraid of them?"
"""Master Tie, why do we need to be scared of them? [SEP] It's no longer your problem now.""",You have to leave Shanghai straight away!,It would be best if you departed from Shanghai immediately.
,Are you still angry?,May I ask if you are still upset?
,Why you undid mi edition????,May I kindly ask why my edition was undone?
,MY gun.,The firearm that belongs to me.
,Where's my money?!,May I inquire about the whereabouts of my funds?
We need you to take a look at something.,Um-hmm.,"Certainly, I'd be happy to take a look at it."
How did I miss that?,It still doesn't explain- Hang on.,"Excuse me, I am still trying to understand."
Josh?,Get us the fuck out of here!,"Excuse me, could you please help us leave this place?"
I'll find the antidote.,Save it.,Please hold onto that thought.
,Are you upset with me?,Do I sense any dissatisfaction from you towards me?
Are you upset with me?,Talk to me.,Could you please communicate with me?
"""Can you hear me, Patti?""",This mike is a cheap piece of crap.,I believe this microphone may not be of the highest quality.
So on behalf of the whole city I'd like to thank the high priest for his sacrifice.,"""That was really something, wasn't it?""","""That was quite impressive, don't you think?"""
,You're really crazy.,You have a unique way of thinking.
You're really crazy.,Catch me!,"Would you mind trying to catch me, please?"
,"""What happened to us, Stefan?""","Stefan, could you please explain what has occurred between us?"
"""What happened to us, Stefan?""",Why did she cross our path?,"I'm curious about why she came into our lives, Stefan."
"""What happened to us, Stefan? [SEP] Why did she cross our path?""",You'd speak differently if she were here.,Your tone might change if she were present.
"""Don't worry, I'll catch the afternoon flyer.""",Why do you drink so much?,May I ask if you consume alcohol frequently?
,Where's Aga?,"May I know the whereabouts of Aga, please?"
What are you lookin 'at?,"""Now, just because we're tied up doesn't mean we're friends.""",I hope you don't mind me saying that our current situation doesn't necessarily imply a close relationship between us.
Are you sure you're from Hong Kong? [SEP] I was born in Hong Kong,Why are you a mainland girl?,May I ask if you are originally from mainland China?
May I give you a word of advice?,Put him over your knee and beat some manners into him.,Perhaps it would be beneficial to consider teaching him proper etiquette through a disciplinary approach.
May I give you a word of advice? [SEP] Put him over your knee and beat some manners into him.,"""You wouldn't happen to have a tablecloth, would you?""","""Excuse me, do you by any chance have a tablecloth?"""
,Move away.,Could you please step back?
Move away.,Look out.,Please be careful and move away.
,No one can help him more than you.,You are the best person to assist him.
What are you doing here?,Stop pretending you don't remember!,Could you kindly remind me of the reason for your presence here?
"""Sorry, are you all right?""","""Yeah. Yeah, my fault.""","Yes, I apologize. It was my mistake."
Oh! What was that? [SEP] I've got a visual. Video should be coming through. [SEP] We got it. Looks good.,Where are they going?,May I inquire about their destination?
,Why did you stop?,May I ask why you ceased?
Why did you stop?,I'm afraid of heights!,I have a fear of heights.
,Please kill me.,I would greatly appreciate it if you could end my life.
Please kill me.,I said kill me.,I expressed a desire for assistance in ending my life.
Guess what I did last night.,Dude!,"Oh my, please do tell me what you did last night."
This can't be.,Be what?,"I'm sorry, could you clarify what you mean?"
,Some more.,May I have some additional?
,You're wrecking a home.,Your actions are causing harm to a household.
You need a trim!,"""Right, here's the money.""","Sure, let me pay for the service."
It's full of blood.,SâÂ°tur.,It appears to be quite bloody.
,You're hurt.,It appears that you may be experiencing some discomfort.
You're hurt. [SEP] I'll be all right.,Dozer?,"Excuse me, may I ask how you are feeling?"
,Why let her go?,What is the reason for allowing her to leave?
,What's happened to Pop?,May I inquire about the current status of Pop?
"""What's happened to Pop? [SEP] He's all right. He's an old man, they won't hurt him.""","""Get out, you!""","Excuse me, could you please leave?"
How's the casino?,Mr. Ikemoto goes too often. He's mooching off us.,It seems that Mr. Ikemoto frequents the casino quite often and may be relying on us for support.
,"""Easy, easy.""",Take it easy.
,"""Run, Charley!""","Charley, would you mind moving quickly?"
He said one day you would come.,Only then you could learn the truth.,"It was mentioned that you may arrive one day, and at that point, you would have the opportunity to discover the truth."
He said one day you would come. [SEP] Only then you could learn the truth.,Stop! Stop the jeep.,"Excuse me, could you please halt the vehicle?"
It's a barrier. Someone put it there. [SEP] I don't think we're alone. [SEP] Let's stack up and sweep upstairs.,Point and shoot?,Would you like to aim and fire?
It's a barrier. Someone put it there. [SEP] I don't think we're alone. [SEP] Let's stack up and sweep upstairs. [SEP] Point and shoot?,Point and shoot.,Would you like to aim and fire?
,"""You must be a girl who has nothing to hide, isn't that right, Nancy?""","Nancy, it seems like you are someone who is very open and honest. Would you agree with that?"
"""Harry, I must insist you accompany me back to the castle immediately!""","""That would be counterproductive, sir.""","I'm afraid that may not be the best course of action, sir."
"""Harry, I must insist you accompany me back to the castle immediately! [SEP] That would be counterproductive, sir.""",And what makes you say that?,May I ask what leads you to that conclusion?
I didn't leave you much.,People!,"Excuse me, everyone."
Feel better now?,You don't even know.,I'm not sure if I'm feeling any better at the moment.
,You really wrote that?,Did you actually write that?
,Who... is he driving?,May I ask who is behind the wheel?
,"""Jonas, Mercy, come hither!""","""Jonas and Mercy, could you please come over here?"""
"""Jonas, Mercy, come hither!""",Speak not a word!,Please remain silent.
It's not time yet.,"""Mother, what reason?""","""Excuse me, may I ask why not?"""
,How long has this dog been here?,May I inquire as to the duration of this dog's presence here?
"""Pretty awful, huh? [SEP] A little dry. [SEP] What did you say!""",Have you been...,"Excuse me, may I ask if you have experienced...?"
,Why this air of menace?,May I ask what is causing this feeling of unease or threat?
Why this air of menace?,You look threatening... but at least you're talking to me.,"I sense a bit of tension, but I appreciate that you're engaging in conversation with me."
"""Smoking, this way! [SEP] I smoke, and this side is non-smoking.""",You can't smoke here?,"Excuse me, is smoking not allowed in this area?"
"""Smoking, this way! [SEP] I smoke, and this side is non-smoking. [SEP] You can't smoke here?""","""Even so, no reason for her to be so rude.""","However, there was no need for her to display impoliteness."
I've blown it.,"""Well, then, all you can do is let her go.""","In this situation, it may be best to allow her to move on."
,Tsing?,"Excuse me, may I ask your name?"
,What is this doing here?,May I ask why this is here?
,Animal!,"Oh my, that creature!"
Animal!,Animal.,"Excuse me, could you please refrain from using that term and instead refer to the creature in question by its specific species or name?"
"""Do you need anything? [SEP] Nope. Thank you. [SEP] I'm going into town in a bit if you want to join, get out?""",Yeah. You yell up at me when you're going?,Would you kindly let me know when you're heading into town?
,That fire making you homesick?,Is the fire reminding you of home?
,She's moving.,She is in the process of relocating.
She's moving.,"""You done it, lads!""","""Congratulations, gentlemen!"""
,"""<url> Honestly, I'd like to know if you really are defending <url>. Do you really believe that they were justified?""",I would appreciate it if you could share your thoughts on whether you support <url> and if you believe their actions were justified.
,The one who should be studying is not at school.,The individual who is expected to be engaged in academic pursuits is currently absent from the educational institution.
The one who should be studying is not at school.,How could she do this?,I'm wondering what might have led her to make this decision.
,One minute?,"Excuse me, may I have a moment of your time?"
,I ain't playing no eunuch! I got balls!,I prefer not to take on the role of a eunuch as I feel it does not align with my personal identity.
I ain't playing no eunuch! I got balls!,"""This is bullshit. Forget it, I'm out.""","I'm sorry, but I don't think this is going to work out. I have decided to withdraw from the situation."
Got something.,Chicago PD!,"Excuse me, may I have your attention please?"
Macy!,Drop the gun.,Please put down the firearm.
,Real funny.,That's quite amusing.
Milk or lemon? [SEP] Milk.,"""Mom, what happened between them?""","""Excuse me, could you please inform me of the situation between them?"""
,You're not Jigsaw.,I don't believe you are Jigsaw.
You're not Jigsaw.,"""You're not Jigsaw, bitch!""","I'm sorry, but you are not Jigsaw."
"""John, a change of pace could not come soon enough here for the Barden Bellas. [SEP] This is not a great way to start their season.""","""Yeah, this number is like an elephant dart to the public's face.""",This performance may not be well received by the audience.
,"""Yes, the """"licking my balls"""" thing. Why am I not surprised that that was his work too?""","Indeed, the act of ""licking my balls"" seems to be associated with him. It is not unexpected that he was involved in it as well."
,Why is he hunting you?,May I ask the reason for his pursuit of you?
Who were they?,Now say it!,Could you please tell me who they were?
Who were they? [SEP] Now say it!,Say it!,Could you please tell me who they were?
,"""Nana, what is it?""","Excuse me, Nana, may I ask what is the matter?"
,Ask him.,Would you kindly inquire with him?
Ask him.,What happened to my men?,May I inquire about the status of my team?
,Where would you be If you were not here.,"If you weren't here, where do you think you would be?"
Where would you be If you were not here.,You fucking little animal.,"Excuse me, but your behavior is not appropriate."
,See how easy it is to trap fools like you?,It appears that it was not difficult to deceive someone like you.
See how easy it is to trap fools like you? [SEP] All you need is the right bait.,Take them away!,Please remove them from this location.
,"""Oh, that's the stuff.""","Ah, that is quite satisfying."
"""Oh, that's the stuff.""",So you're in?,Are you interested in joining?
,King or two queens?,Would you prefer a king-sized bed or two queen-sized beds?
King or two queens?,Two queens.,I would prefer to have two queens.
Your company.,Where do you work?,May I ask where you are employed?
,Where's Cathy?,"May I know the whereabouts of Cathy, please?"
"""Thanks, sledgehammer.""",Sledgehammer.,"Thank you for your help, sledgehammer."
,Who's that little dude?,May I know the name of that small person?
She has asthma. [SEP] Do you have your inhaler?,Just hang on.,Please wait a moment.
,Nor I to you.,And neither do I have any intention of speaking rudely to you.
The clock?,What of it?,Could you please tell me about the clock?
Come and help.,Go fuck yourself.,I kindly request that you attend and assist.
,"""You use pigs, too, Lee, getting rid of bodies... or some other disposal method?""","Lee, do you also utilize pigs or other means for disposing of bodies?"
,"""There's nothing like a dancing girl, a sailing frigate, and a galloping horse.""","There is no experience quite like witnessing the grace of a dancer, the majesty of a ship at sea, and the speed of a horse in motion."
"""There's nothing like a dancing girl, a sailing frigate, and a galloping horse.""","""Volodya, ask me!""","Volodya, would you kindly ask me?"
,I got to get out of here.,I need to leave this place.
I got to get out of here.,"""You're not going to go see her, are you?""","""May I ask if you have any plans to visit her?"""
,Okay there. Yikes.,Alright then. Oh my.
,Did you kill her?,May I ask if you were involved in her passing?
Did you kill her?,I didn't kill anybody.,I did not cause harm to anyone.
,Where's Cook?,May I inquire about the whereabouts of Cook?
Not too bored?,Why do you all walk like horses?,May I ask why you all walk in a particular way?
,What happens? Who has taken over!,May I inquire about the current situation? Who is currently in charge?
,You grew up without a father?,Did you happen to have grown up without a paternal figure?
You grew up without a father?,That obvious?,Is it apparent that you did not have a father figure while growing up?
I wonder why they left this behind.,Don't touch the map.,Please refrain from handling the map.
That's not necessary. I can walk perfectly well.,Doctor Ferreiro prefers that you don't exert yourself.,Doctor Ferreiro would appreciate it if you didn't strain yourself.
"""Quick, get out!""",Stop! Police!,"Excuse me, please vacate the premises immediately."
,Away with you!,Could you please leave?
Away with you!,Let's go from here.,Shall we depart from this place?
This needs to be mailed.,"""You're not coming in, sir?""","May I ask if you have any plans to enter, sir?"
,you could have started the discussion yourself. How can you say there was no consensus against the edits if there had been no discussion at the time you were doing the reverting?,It would have been helpful if you had initiated the discussion. I am curious as to how you can claim there was no agreement against the edits when there was no opportunity for discussion during the time you were reverting.
,And never came back.,And did not return thereafter.
And never came back.,Kaden speaking.,This is Kaden speaking.
It's pointless.,Therapy?,Would therapy be a helpful option?
,Nikolai!,"Hello, Nikolai!"
,Sire!,"Excuse me, your highness."
Sire!,Get your hands off me.,"Excuse me, please refrain from touching me."
,Krysia!,"Excuse me, Krysia."
,Why is she here?,May I ask what brings her here?
"""You there, Nicole?""",Get back there.,Could you please return to that location?
"""What shall we be, chief?""",You'll go to another prison some other time.,"Perhaps in the future, you may find yourself in a different correctional facility."
,"""I'm a princess, tricked into being a witch's slave.""","I have been deceived into serving a witch, but I identify as royalty."
"""I'm a princess, tricked into being a witch's slave.""",Will you liberate me?,Would you kindly consider freeing me?
,Albert!,"Excuse me, Albert?"
,You should not have come here.,It may have been better if you had not arrived at this location.
You should not have come here.,Stop that.,I kindly request that you refrain from doing that.
,Get out of the car! Now!,Could you please step out of the vehicle at this moment?
Get out of the car! Now!,Get out of the car.,Could you please step out of the car?
,Shin!,Hello Shin!
Shin!,Wait up.,"Excuse me, could you please slow down a bit?"
No! Please!,Let's talk this over.,Could we discuss this further?
What a relief.,But who was that?,May I ask who that was?
Miles!,All right. Fuck it.,"Okay, let's forget about it."
Maria?,Maria.,"Excuse me, may I speak with Maria please?"
"""Fattuh, what I'd do without you?""",I shall follow the lady to the end of the world.,"I would be lost without your help, Fattuh."
,So where are you all going?,May I ask where you all are headed?
,So where exactly are you planning on taking me?,May I kindly inquire about the location you have in mind for our outing?
So where exactly are you planning on taking me?,You've not worked it out yet?,Have you had a chance to decide on our destination yet?
,"""The little boy is sensitive, yeah...?""",Is the young child particularly attuned to emotions?
"""The little boy is sensitive, yeah...? [SEP] Gentle?""","""If I catch you on service you will see what you will have, fucking twat!""","If I happen to encounter you while on duty, you will witness the consequences of your actions, disrespectful individual."
"""The little boy is sensitive, yeah...? [SEP] Gentle? [SEP] If I catch you on service you will see what you will have, fucking twat!""",Order!,May I please request some order?
,Now what do we do?,What should be our next course of action?
,Insult him.,Say something that won't offend him.
Insult him.,"""Where are you going, old sleazebag!""","Excuse me, may I ask where you are headed, sir?"
Do you think they made it? [SEP] We'll soon find out.,Get off!,Please move away.
Did I ask you to do that?,Don't bears like honey?,"Excuse me, may I ask if bears have a preference for honey?"
"""I do not know what it is, glands here and here.""","""Swollen, but so what?""","It appears to be swollen, but does it require any attention or concern?"
"""I do not know what it is, glands here and here. [SEP] Swollen, but so what? [SEP] It happens, work, this self-will.""","""Give me guess, Poloshon, you also tonsils and you also take sick leave?""","Can you please share if you have experienced swollen glands and taken sick leave, Poloshon? I am not sure what is causing my own swollen glands and it is affecting my work, but I am curious if you have had a similar experience."
,This woman?,May I ask about this lady?
This woman?,This grieving woman?,Is this woman feeling sorrowful?
"""This box is too small. [SEP] Probably not for holding treasures. [SEP] You guys keep digging, ok?""",Then what is it?,May I ask what its purpose is?
"""Take care, Carter.""",Dodge.,"Be careful, Carter."
,"""Skye, hand me the bottle.""","Could you please pass me the bottle, Skye?"
"""Skye, hand me the bottle.""","""Okay, Turbo. But you're still nursing the one you got.""","Sure, Turbo. However, please keep in mind that you still have a bottle with you."
You are getting good at that.,"""Oh, you don't love me.""","I'm sorry, but it seems like you may not have strong feelings towards me."
I also want to get the gold.,There's no point following me like that.,I would appreciate it if you didn't follow me in that manner.
,Where are the pearls?!,May I inquire about the location of the pearls?
Where are the pearls?!,Listen! The moon will kill us all!,"Excuse me, may I ask where the pearls are located?"
,This does not change anything between us.,This does not alter the dynamic between us.
,We're not doing that.,"Unfortunately, that is not something we will be able to do."
We're not doing that.,Then who?,May I ask who we will be doing it with instead?
I'm sorry. I apologize.,That's not why.,"I'm sorry, but that's not the reason."
,So you've read the diary?,Have you had the chance to peruse the diary?
So you've read the diary?,How can you keep doing what you're doing?,May I ask why you continue to engage in that activity?
The bath is ready.,Fine. What?,"Great, may I ask what you need?"
Hey! Hold it! [SEP] Boudreaux is the target we're after.,You are a fucking buffalo!,"I'm sorry, but I must disagree with you."
,Son of a bitch. That same cop from the club.,"Oh no, it's that officer from the club again."
Son of a bitch. That same cop from the club.,Filthy cop.,Unpleasant police officer.
Coral is back.,Coral.,"It's great to see you again, Coral."
,Get out of here. Sit down.,Please take a seat here.
Get out of here. Sit down.,Damn bird!,"Oh my, that bird is quite bothersome."
All these pages are blank.,Here!,"Excuse me, may I offer you these blank pages?"
Come back!,Come back here right now!,Could you please come back?
"""Hey, we are in Nungambakkam station now.""","""You said some thing, what will you do now?""","I'm sorry, I didn't quite catch what you said. What is your plan now?"
What do you want with Hattori Hanzo? [SEP] I need Japanese steel.,Why do you need Japanese steel?,May I ask the reason behind your interest in Japanese steel?
What do you want with Hattori Hanzo? [SEP] I need Japanese steel. [SEP] Why do you need Japanese steel?,I have vermin to kill.,I require Japanese steel to eliminate pests.
,Let him go.,Allow him to leave.
"""They found a doll in the cabin, Victoria.""",Who made the doll?,May I ask who created the doll?
,Ambulance.,Could you please call for an ambulance?
Ambulance.,"""Wait, wait!""","Excuse me, please hold on for a moment."
,What the devil was that?,"Excuse me, may I ask what that was?"
What the devil was that?,"""Stand and fight like a man, you little jackrabbit.""",Could you please explain what just happened?
,"""Police, freeze!""","Excuse me, could you please stop moving?"
"""Police, freeze!""",FBI.,"Excuse me, may I have your attention please?"
,You do realise this is complete rubbish - it's already been speedily deleted once if you check the logs. I can't see any advantage to having this crap floating around for 5 days - can you?,Do you happen to be aware that this has already been deleted once and may not be of any use to keep it for 5 days?
,Are you going to keep missing practices?,Do you plan on attending future practices?
,You aren't Sister!,"I'm sorry, but I don't believe we've met before."
You aren't Sister! [SEP] You got half right. I'm the Face-Shaving Sister.,Come! Follow me!,"Please, would you kindly follow me?"
,All gone.,Everything has been used up or consumed.
All gone.,Play?,Would you like to play?
Was there any kind of trauma?,Anything which could have set her back like this?,Could there have been any factors that may have caused her to experience setbacks?
,What's this war in the heart of nature?,Could you please explain the conflict occurring within nature?
What's this war in the heart of nature?,Why does nature vie with itself?.,What causes nature to compete with itself?
What's this war in the heart of nature? [SEP] Why does nature vie with itself?.,The land contend with the sea?,Does the earth struggle against the ocean?
This not West as Alin described.,This horrible. We must go back home.,This is not quite what we were expecting. Perhaps it would be best to return home.
